Деятель,Кол-во упоминаний
Путин,15245
Песков,2974
Лавров,1817
Зеленский,1365
Медведев,1009
Мишустин,948
Шойгу,765
Володин,668
Кадыров,525
Бастрыкин,427
Собянин,360
Матвиенко,293
Воробьев,261
Патрушев,250
Новак,210
Силуанов,203
Небензя,201
Слуцкий,198
Артамонов,181
Мантуров,176
Климов,168
Ермак,159
Бортников,145
Залужный,145
Герасимов,141
Морозов,139
Беглов,135
Кириенко,105
Колокольцев,93
Калашников,93
Шевченко,93
Пономарев,90
Яшин,84
Порошенко,82
Миронов,82
Дюмин,80
Кличко,79
Данилов,78
Шмыгаль,76
Решетников,73
Волков,67
Зюганов,65
Медведчук,64
Мизулина,61
Собчак,60
Азаров,57
Кац,52
Орешкин,52
Труханов,50
Козак,47
Навальный,46
Клишас,40
Текслер,39
Удальцов,36
Кожин,32
Гудков,31
Яровая,29
Фургал,29
Тимошенко,26
Гудкова,25
Громов,24
Жданов,24
Ткачев,23
Стефанчук,21
Зорькин,19
Пушков,18
Геращенко,18
Долматов,17
Каспаров,17
Алексеева,17
Мальцев,17
Чайка,16
Дубинский,15
Скворцова,15
Леонтьев,14
Янукович,13
Резников,13
Аваков,12
Ходорковский,10
Журова,10
Арестович,9
Чирикова,7
Круглов,7
Шендерович,7
Соболь,6
Куйвашев,6
Маргелов,6
Габрелянов,6
Жириновский,5
Маркарова,5
Садовый,5
Кобылкин,4
Скабеева,4
Карасин,4
Бужанский,3
Проханов,3
Ройзман,2
Галямина,1
Полтавченко,1
Киселевский,1
